iteration,current_cmax,best_cmax,candidate_cmax,move_i,move_j,tabu_used,improved_best,objective_evaluations
487,27234,27198,27234,84,90,False,False,19480
488,27232,27198,27232,379,434,False,False,19520
489,27228,27198,27228,202,245,False,False,19560
490,27228,27198,27228,179,186,False,False,19600
491,27234,27198,27234,227,311,False,False,19640
492,27222,27198,27222,169,222,False,False,19680
493,27222,27198,27222,26,27,False,False,19720
494,27222,27198,27222,98,123,False,False,19760
495,27205,27198,27205,66,99,False,False,19800
496,27205,27198,27205,285,311,False,False,19840
497,27205,27198,27205,300,303,False,False,19880
498,27205,27198,27205,193,195,False,False,19920
499,27224,27198,27224,245,266,False,False,19960
500,27220,27198,27220,2,271,False,False,20000
