instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.19547160000365693,1.789999078027904e-05,433,3124,3 16 4 14 20 18 7 12 1 19 11 10 15 13 5 6 9 8 17 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1306,-19,1.4339622641509433,0.18443259999912698,2.1199986804276705e-05,465,4123,13 9 16 2 12 11 19 10 5 17 15 20 7 1 4 6 8 14 3 18,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1302,-23,1.7358490566037736,0.1825535999960266,2.0100007532164454e-05,483,4124,13 9 16 17 11 1 19 10 7 20 12 5 15 2 3 8 6 14 4 18,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.18134000001009554,1.920000067912042e-05,433,5123,12 19 3 15 16 9 13 17 4 10 2 5 6 1 11 14 7 18 8 20,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.18258999999670777,1.930000144056976e-05,430,5124,12 4 3 10 9 16 13 17 6 19 2 5 1 11 18 15 14 7 8 20,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18575370000326075,1.8100006855092943e-05,19,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18449249998957384,1.8099992303177714e-05,15,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.18482130000484176,2.609999501146376e-05,15,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1857635000051232,1.679999695625156e-05,10,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.18846750000375323,1.7400001524947584e-05,17,3123,3 16 14 20 18 4 7 11 13 10 12 5 1 19 15 6 9 8 17 2,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.1868145999906119,1.7600003047846258e-05,13,3124,3 4 16 14 19 1 20 11 18 7 13 12 5 10 17 6 9 8 15 2,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.004,20,5,1325,1325,1325,1314,-11,0.8301886792452831,0.18771379999816418,1.9099999917671084e-05,14,4123,13 9 17 11 19 16 15 2 5 20 18 7 12 10 1 8 14 4 6 3,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.18700859999808017,1.85999961104244e-05,16,4124,13 16 11 9 17 7 12 15 2 20 1 19 10 5 14 6 4 8 3 18,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.18653589999303222,1.7800004570744932e-05,15,5123,12 4 13 3 16 9 15 19 6 2 5 10 17 14 11 1 18 7 8 20,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.005,20,5,1305,1305,1305,1244,-61,4.674329501915709,0.1851223999983631,1.8300008377991617e-05,15,5124,12 13 3 9 17 16 4 6 2 10 5 11 15 19 18 14 7 8 20 1,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
